,store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
548,1387499127856730283,60,17,0,0,0,0
549,3773190039392271685,1421,4,0,78,3,0
550,2603208997901235365,0,3,0,0,0,0
551,1699237904069988468,54,3,0,5,3,0
552,61249558930922388,1436,0,0,63,6,0
553,8156012280066976692,0,3,0,0,0,0
554,2237706596783713721,50,20,0,9,10,0
555,6552654471062018440,771,0,0,728,17,0
556,6936490969710201366,1432,0,0,67,6,0
557,2399528086871175580,1430,0,0,69,6,0
558,663034937572544197,566,9,0,933,0,0
559,669891907552658421,978,10,0,521,7,0
560,5102129532826692428,1435,0,0,64,6,0
561,8933079223550783226,0,0,0,0,1,0
562,294330749305213289,303,2,0,1196,15,0
563,7707528008225066648,0,3,0,0,0,0
564,1641569296021103785,55,3,0,4,3,0
565,4301691019706464256,620,12,0,879,5,0
566,6922065097784044235,39,0,0,3,5,0
567,5364482641103760905,0,19,0,0,6,0
568,8947746420989097145,1353,1,0,146,6,0
569,4750972984503710487,1427,0,0,72,6,0
570,3194503360329838738,1433,0,0,66,6,0
571,5328868441857118583,0,0,0,0,1,0
572,3695022570505501051,770,1,0,729,16,0
573,7051857931649539994,1121,20,0,378,13,0
574,1457721081990653172,1434,1,0,65,6,0
575,4258430292538152783,1133,0,0,366,11,0
576,106468360682739586,13,2,0,0,3,0
577,7313783811030440445,1430,16,0,69,15,0
578,8835187269741245949,0,0,0,0,0,0
579,2254345540888774754,0,3,0,0,0,0
580,8091378431608170005,1421,4,0,78,3,0
581,7042794996615483386,55,1,0,4,0,0
582,7680612665427845811,55,0,0,4,17,0
583,2378834470095357297,341,2,0,1158,15,0
584,8670696899878762943,1421,1,0,78,6,0
585,6104774241364058349,690,10,0,809,7,0
586,1868307042375215207,0,0,0,0,0,0
587,918401936273728554,318,2,0,1181,15,0
588,5366072592790137092,53,0,0,4,17,0
589,7078500601172140486,1433,0,0,66,6,0
590,5587568496527379193,0,20,0,0,6,0
591,5175069132751814351,310,2,0,1189,15,0
592,3683209280250377921,1438,0,0,61,6,0
593,7681219113084292190,1437,1,0,62,6,0
594,1921454076511895339,1380,0,0,119,7,0
595,3480743953780628156,298,2,0,1201,15,0
596,6361135200790329214,1429,4,0,70,3,0
597,8167861777770124168,57,15,0,2,15,0
598,7284033073501154264,1375,7,0,124,1,0
599,1087889765091730849,1380,0,0,119,7,0
600,4993050751327963474,1368,0,0,131,7,0
601,2088770151390257149,1333,3,0,166,4,0
602,5288022037722914898,1436,0,0,63,6,0
603,1758856469274535983,1422,4,0,77,3,0
604,1499848007077225326,1372,0,0,127,7,0
605,1479192551603889353,1438,0,0,61,6,0
606,2119174631289855900,0,3,0,0,0,0
607,7966661384416535769,51,3,0,8,3,0
608,7680753725527618600,771,0,0,728,17,0
609,7197782624768298303,0,0,0,0,0,0
610,8457830603693431027,352,2,0,1147,15,0
611,7586236246925198801,774,0,0,725,17,0
